# name, tgt sunk, tgt tons, subsDmgd, subsSunk, subsSpotted, subsRTB, subsPromoted
U-231(5-3-3),2,13,0,0,0,0,0
U-232(5-3-3),3,14,0,0,0,0,0
U-233(5-3-3),1,2,0,0,0,0,0
U-234(5-3-3),1,2,0,0,0,0,0
U-235(5-3-3),3,16,0,0,0,0,0
U-236(5-3-3),1,8,0,0,0,0,0
U-237(5-3-3),1,8,0,0,0,0,0
U-238(5-3-3),2,7,0,0,0,0,0
U-239(5-3-3),1,8,0,0,0,0,0
U-240(5-3-3),1,2,0,0,0,0,0
U-241(5-3-3),3,11,0,0,0,0,0
U-242(5-3-3),0,0,0,0,1,0,0
U-243(5-3-3),0,0,1,0,0,0,0
U-244(5-3-3),0,0,0,1,0,0,0
U-245(5-3-3),2,10,0,0,0,0,0
U-246(5-3-3),1,3,1,0,0,0,0
U-247(5-3-3),0,0,1,0,0,0,0
U-248(5-3-3),1,20,0,0,0,0,0
U-249(5-3-3),0,0,0,0,0,0,0
U-250(5-3-3),0,0,0,0,0,0,0
U-251(5-3-3),1,5,0,0,0,0,0
U-252(5-3-3),2,10,0,0,0,0,0
U-253(5-3-3),1,5,1,0,0,0,0
U-254(5-3-3),1,10,0,0,1,0,0
U-255(5-3-3),0,0,0,0,0,0,0
U-256(5-3-3),1,8,0,0,0,0,0
U-257(5-3-3),0,0,0,0,0,0,0
U-258(5-3-3),2,10,0,0,0,0,0
U-259(5-3-3),2,6,0,0,0,0,0
U-260(5-3-3),3,15,0,0,0,0,0
U-261(5-3-3),2,7,0,0,0,0,0
U-262(5-3-3),2,6,0,0,0,0,0
U-263(5-3-3),1,5,0,0,0,0,0
U-264(5-3-3),1,12,0,0,0,0,0
U-265(5-3-3),0,0,0,0,0,0,0
U-266(5-3-3),0,0,0,0,0,0,0
U-267(5-3-3),0,0,0,0,0,0,0
U-268(5-3-3),0,0,0,0,0,0,0
U-269(5-3-3),0,0,1,0,0,0,0
U-270(5-3-3),4,8,0,0,0,0,0
U-271(5-3-3),0,0,0,0,0,0,0
U-272(5-3-3),2,9,0,0,1,0,0
U-273(5-3-3),1,3,0,0,0,0,0
U-274(5-3-3),0,0,1,0,0,1,1
U-275(5-3-3),0,0,0,0,0,0,0
U-276(5-3-3),1,8,0,0,0,0,0
U-277(5-3-3),1,10,0,0,0,0,0
U-278(5-3-3),1,3,0,0,0,0,0
U-279(5-3-3),1,4,0,0,0,0,0
U-280(5-3-3),4,15,0,0,0,0,0
U-281(5-3-3),1,10,0,0,0,0,0
U-282(5-3-3),0,0,0,0,0,0,0
U-283(5-3-3),3,22,0,0,0,0,0
U-284(5-3-3),1,10,0,0,0,0,0
U-285(5-3-3),1,5,0,0,0,0,0
U-286(5-3-3),4,22,0,0,0,0,0
U-287(5-3-3),1,3,0,0,0,0,0
U-288(5-3-3),2,8,0,0,0,0,0
U-289(5-3-3),2,10,0,0,0,0,0
U-290(5-3-3),3,10,0,0,0,0,0
U-291(5-3-3),3,8,0,0,0,0,0
U-292(5-3-3),2,10,0,0,0,0,0
U-293(5-3-3),1,3,0,0,0,0,0
U-294(5-3-3),1,12,0,0,0,0,0
U-295(5-3-3),2,9,0,0,1,0,0
U-296(5-3-3),0,0,0,0,0,0,0
U-297(5-3-3),1,5,0,0,0,0,0
U-298(5-3-3),0,0,0,0,0,0,0
U-299(5-3-3),1,5,0,0,0,0,0
U-300(5-3-3),1,8,0,0,0,0,0
U-301(5-3-3),0,0,0,0,0,0,0
U-302(5-3-3),2,11,0,0,0,0,0
U-303(5-3-3),0,0,0,0,1,0,0
U-304(5-3-3),1,4,0,0,0,0,0
U-305(5-3-3),1,9,0,0,0,0,0
U-306(5-3-3),1,8,0,0,0,0,0
U-307(5-3-3),1,5,0,0,0,0,0
U-308(5-3-3),2,11,0,0,0,0,0
U-309(5-3-3),1,5,0,0,0,0,0
U-310(5-3-3),1,5,0,0,0,0,0
U-311(5-3-3),3,15,0,0,0,0,0
U-312(5-3-3),2,14,0,0,0,0,0
U-313(5-3-3),1,4,0,0,0,0,0
U-314(5-3-3),4,11,0,0,0,0,0
U-315(5-3-3),2,8,0,0,0,0,0
U-316(5-3-3),1,9,0,0,0,0,0
U-317(5-3-3),3,13,0,0,0,0,0
U-318(5-3-3),0,0,0,1,0,0,0
U-319(5-3-3),1,5,0,0,0,0,0
U-320(5-3-3),3,7,0,0,0,0,0
U-321(5-3-3),3,14,0,0,0,0,0
U-322(5-3-3),0,0,0,0,0,0,0
U-323(5-3-3),2,4,0,0,0,0,0
U-324(5-3-3),0,0,0,0,0,0,0
U-325(5-3-3),1,17,0,0,0,0,0
U-326(5-3-3),2,7,0,0,0,0,0
U-327(5-3-3),0,0,0,0,0,0,0
U-328(5-3-3),0,0,0,0,0,0,0
U-329(5-3-3),0,0,1,0,0,0,0
U-330(5-3-3),1,5,0,0,0,0,0
U-331(5-3-3),3,24,0,0,0,0,0
U-332(5-3-3),1,2,0,0,0,0,0
U-333(5-3-3),1,2,0,0,1,0,0
U-334(5-3-3),2,6,0,0,0,0,0
U-335(5-3-3),1,6,0,0,0,0,0
U-336(5-3-3),2,9,0,0,0,0,0
U-337(5-3-3),2,7,0,0,0,0,0
U-338(5-3-3),1,8,0,0,0,0,0
U-339(5-3-3),1,5,0,0,0,0,0
U-340(5-3-3),0,0,0,0,0,0,0
U-341(5-3-3),1,9,0,0,0,0,0
U-342(5-3-3),2,22,0,0,0,0,0
U-343(5-3-3),1,8,0,0,0,0,0
U-344(5-3-3),1,5,0,0,0,0,0
U-345(5-3-3),1,4,0,0,0,0,0
U-346(5-3-3),0,0,0,0,0,0,0
U-347(5-3-3),2,14,0,0,0,0,0
U-348(5-3-3),2,11,0,0,0,0,0
U-349(5-3-3),3,11,0,0,0,0,0
U-350(5-3-3),1,9,0,0,0,0,0
U-351(5-3-3),2,9,0,0,0,0,0
U-352(5-3-3),1,10,0,0,0,0,0
U-353(5-3-3),2,10,0,0,0,0,0
U-354(5-3-3),1,3,0,0,0,0,0
U-355(5-3-3),1,5,0,0,0,0,0
U-356(5-3-3),1,4,0,0,0,0,0
U-357(5-3-3),0,0,0,0,0,0,0
U-358(5-3-3),1,5,0,0,0,0,0
U-359(5-3-3),0,0,0,0,0,0,0
U-360(5-3-3),1,6,0,0,0,0,0
U-361(5-3-3),2,9,0,0,0,0,0
U-362(5-3-3),1,2,0,0,0,0,0
U-363(5-3-3),0,0,0,0,0,0,0
U-364(5-3-3),1,6,0,0,0,0,0
U-365(5-3-3),2,11,0,0,0,0,0
U-366(5-3-3),1,4,0,0,0,0,0
U-367(5-3-3),3,14,0,0,0,0,0
U-368(5-3-3),1,4,0,0,0,0,0
U-369(5-3-3),1,4,0,0,0,0,0
U-370(5-3-3),1,5,0,0,0,0,0
U-371(5-3-3),0,0,0,0,0,0,0
U-372(5-3-3),3,16,0,0,0,0,0
U-373(5-3-3),2,8,0,0,0,0,0
U-374(5-3-3),2,19,0,0,0,0,0
U-375(5-3-3),1,4,0,0,0,0,0
U-376(5-3-3),2,8,0,0,0,0,0
U-377(5-3-3),0,0,1,0,0,0,0
U-378(5-3-3),1,5,1,0,0,0,0
U-379(5-3-3),2,13,0,0,0,0,0
U-380(5-3-3),2,14,0,0,0,0,0
U-381(5-3-3),1,5,0,0,0,0,0
U-382(5-3-3),2,6,0,0,0,0,0
U-383(5-3-3),1,6,0,0,0,0,0
U-384(5-3-3),0,0,0,0,0,0,0
U-385(5-3-3),2,10,0,0,0,0,0
U-386(5-3-3),2,7,0,0,0,0,0
U-387(5-3-3),2,11,0,0,0,0,0
U-388(5-3-3),2,5,0,0,0,0,0
U-389(5-3-3),2,11,0,0,0,0,0
U-390(5-3-3),1,8,0,0,0,0,0
U-391(5-3-3),1,6,0,0,0,0,0
U-392(5-3-3),0,0,0,0,0,0,0
U-393(5-3-3),1,2,0,0,0,0,0
U-394(5-3-3),2,17,0,0,0,0,0
U-395(5-3-3),1,6,0,0,0,0,0
U-396(5-3-3),2,9,0,0,0,0,0
U-397(5-3-3),1,5,0,0,0,0,0
U-398(5-3-3),1,5,0,0,0,0,0
U-399(5-3-3),1,5,1,0,0,0,0
U-400(5-3-3),1,5,0,0,0,0,0
U-401(5-3-3),1,7,0,0,0,0,0
U-402(5-3-3),3,15,0,0,0,0,0
U-403(5-3-3),1,3,1,0,0,1,1
U-404(5-3-3),3,11,0,0,0,0,0
U-405(5-3-3),0,0,0,0,0,0,0
U-406(5-3-3),2,10,0,0,0,0,0
U-407(5-3-3),2,2,0,0,0,0,0
U-408(5-3-3),2,12,0,0,0,0,0
U-409(5-3-3),1,2,0,0,0,0,0
U-410(5-3-3),1,2,0,0,0,0,0
U-411(5-3-3),0,0,0,0,0,0,0
U-412(5-3-3),0,0,1,0,0,0,0
U-413(5-3-3),2,6,0,0,0,0,0
U-414(5-3-3),0,0,0,0,0,0,0
U-415(5-3-3),1,4,0,0,0,0,0
U-416(5-3-3),1,5,0,0,0,0,0
U-417(5-3-3),1,9,0,0,0,0,0
U-418(5-3-3),2,5,0,0,0,0,0
U-419(5-3-3),1,2,0,0,0,0,0
U-420(5-3-3),0,0,0,0,0,0,0
U-421(5-3-3),2,10,0,0,0,0,0
U-422(5-3-3),3,20,0,0,0,0,0
U-423(5-3-3),2,10,0,0,0,0,0
U-424(5-3-3),2,7,0,0,0,0,0
U-425(5-3-3),1,3,0,0,0,0,0
U-426(5-3-3),2,8,0,0,0,0,0
U-427(5-3-3),0,0,0,0,0,0,0
U-428(5-3-3),2,8,0,0,0,0,0
U-429(5-3-3),3,20,0,0,0,0,0
U-430(5-3-3),0,0,0,0,0,0,0
